state,percentile,income
Sarawak,19,3071
Sarawak,20,3131
Sarawak,21,3196
Sarawak,22,3264
Sarawak,23,3329
Sarawak,24,3405
Sarawak,25,3477
Sarawak,26,3555
Sarawak,27,3636
Sarawak,28,3705
Sarawak,29,3789
Sarawak,30,3859
Sarawak,31,3938
Sarawak,32,4010
Sarawak,33,4099
Sarawak,34,4174
Sarawak,35,4239
Sarawak,36,4318
Sarawak,37,4381
Sarawak,38,4470
Sarawak,39,4548
Sarawak,40,4618
Sarawak,41,4713
Sarawak,42,4816
Sarawak,43,4898
Sarawak,44,4983
Sarawak,45,5062
Sarawak,46,5139
Sarawak,47,5206
Sarawak,48,5296
Sarawak,49,5371
Sarawak,50,5454
Sarawak,51,5552
Sarawak,52,5631
Sarawak,53,5724
Sarawak,54,5816
Sarawak,55,5917
Sarawak,56,6006
Sarawak,57,6113
Sarawak,58,6241
Sarawak,59,6350
Sarawak,60,6466
Sarawak,61,6591
Sarawak,62,6692
Sarawak,63,6814
Sarawak,64,6924
Sarawak,65,7012
Sarawak,66,7149
Sarawak,67,7289
Sarawak,68,7420
Sarawak,69,7591
Sarawak,70,7708
Sarawak,71,7876
Sarawak,72,8052
Sarawak,73,8215
Sarawak,74,8394
Sarawak,75,8570
Sarawak,76,8734
Sarawak,77,8946
Sarawak,78,9134
Sarawak,79,9356
Sarawak,80,9594
Sarawak,81,9848
Sarawak,82,10094
Sarawak,83,10318
Sarawak,84,10643
Sarawak,85,11009
Sarawak,86,11307
Sarawak,87,11679
Sarawak,88,12073
Sarawak,89,12572
Sarawak,90,12920
Sarawak,91,13323
Sarawak,92,13855
Sarawak,93,14446
Sarawak,94,15158
Sarawak,95,15956
Selangor,1,2604
Selangor,2,3304
Selangor,3,3784
Selangor,4,4148
Selangor,5,4443
Selangor,6,4723
Selangor,7,4972
Selangor,8,5159
Selangor,9,5395
Selangor,10,5583
Selangor,11,5701
Selangor,12,5856
Selangor,13,6039
Selangor,14,6323
Selangor,15,6487
Selangor,16,6634
Selangor,17,6756
Selangor,18,6845
Selangor,19,6954
Selangor,20,7184
Selangor,21,7492
Selangor,22,7647
Selangor,23,7777
Selangor,24,7882
Selangor,25,7998
Selangor,26,8164
Selangor,27,8374
Selangor,28,8464
Selangor,29,8520
Selangor,30,8592
Selangor,31,8673
Selangor,32,8759
Selangor,33,8821
Selangor,34,8896
Selangor,35,9002
Selangor,36,9130
Selangor,37,9220
Selangor,38,9322
Selangor,39,9431
Selangor,40,9515
Selangor,41,9617
Selangor,42,9727
Selangor,43,9875
Selangor,44,10096
Selangor,45,10210
Selangor,46,10313
Selangor,47,10399
Selangor,48,10498
Selangor,49,10583
Selangor,50,10676
Selangor,51,10768
Selangor,52,10842
Selangor,53,10945
Selangor,54,11039
Selangor,55,11123
Selangor,56,11223
Selangor,57,11314
Selangor,58,11415
Selangor,59,11509
Selangor,60,11744
Selangor,61,12037
Selangor,62,12264
Selangor,63,12442
Selangor,64,12620
Selangor,65,12735
Selangor,66,12863
Selangor,67,13013
Selangor,68,13191
Selangor,69,13326
Selangor,70,13517
Selangor,71,13663
Selangor,72,13796
Selangor,73,13949
Selangor,74,14151
Selangor,75,14330
Selangor,76,14580
Selangor,77,15100
Selangor,78,15363
Selangor,79,15637
Selangor,80,15899
Selangor,81,16234
Selangor,82,16670
Selangor,83,17052
Selangor,84,17411
Selangor,85,17912
Selangor,86,18383
Selangor,87,18909
Selangor,88,19546
Selangor,89,20324
Selangor,90,21131
Selangor,91,22129
Selangor,92,23105
Selangor,93,24599
Selangor,94,25869
Selangor,95,27586
